level,question,year,city,town,name,value
tracts,Annual checkup,2018,NA,NA,09001021500,0.743
tracts,Annual checkup,2018,NA,NA,09001021600,0.7440000000000001
tracts,Annual checkup,2018,NA,NA,09001021700,0.746
tracts,Annual checkup,2018,NA,NA,09001021801,0.7709999999999999
tracts,Annual checkup,2018,NA,NA,09001021802,0.7809999999999998
tracts,Annual checkup,2018,NA,NA,09001021900,0.7620000000000001
tracts,Annual checkup,2018,NA,NA,09001022000,0.7609999999999998
tracts,Annual checkup,2018,NA,NA,09001022100,0.754
tracts,Annual checkup,2018,NA,NA,09001022200,0.7360000000000001
tracts,Annual checkup,2018,NA,NA,09001022300,0.7649999999999999
tracts,Annual checkup,2018,NA,NA,09001022400,0.795
tracts,Annual checkup,2018,NA,NA,09001030100,0.792
tracts,Annual checkup,2018,NA,NA,09001030200,0.789
tracts,Annual checkup,2018,NA,NA,09001030300,0.8029999999999999
tracts,Annual checkup,2018,NA,NA,09001030400,0.784
tracts,Annual checkup,2018,NA,NA,09001030500,0.7809999999999999
tracts,Annual checkup,2018,NA,NA,09001035100,0.8049999999999999
tracts,Annual checkup,2018,NA,NA,09001035200,0.802
tracts,Annual checkup,2018,NA,NA,09001035300,0.802
tracts,Annual checkup,2018,NA,NA,09001035400,0.797
tracts,Annual checkup,2018,NA,NA,09001042500,0.799
tracts,Annual checkup,2018,NA,NA,09001042600,0.7859999999999999
tracts,Annual checkup,2018,NA,NA,09001042700,0.777
tracts,Annual checkup,2018,NA,NA,09001042800,0.784
tracts,Annual checkup,2018,NA,NA,09001042900,0.795
tracts,Annual checkup,2018,NA,NA,09001043000,0.7859999999999999
tracts,Annual checkup,2018,NA,NA,09001043100,0.79
tracts,Annual checkup,2018,NA,NA,09001043200,0.778
tracts,Annual checkup,2018,NA,NA,09001043300,0.7709999999999999
tracts,Annual checkup,2018,NA,NA,09001043400,0.7509999999999999
tracts,Annual checkup,2018,NA,NA,09001043500,0.7900000000000001
tracts,Annual checkup,2018,NA,NA,09001043600,0.78
tracts,Annual checkup,2018,NA,NA,09001043700,0.759
tracts,Annual checkup,2018,NA,NA,09001043800,0.764
tracts,Annual checkup,2018,NA,NA,09001043900,0.7820000000000001
tracts,Annual checkup,2018,NA,NA,09001044000,0.7529999999999999
tracts,Annual checkup,2018,NA,NA,09001044100,0.743
tracts,Annual checkup,2018,NA,NA,09001044200,0.757
tracts,Annual checkup,2018,NA,NA,09001044300,0.7829999999999999
tracts,Annual checkup,2018,NA,NA,09001044400,0.7640000000000001
tracts,Annual checkup,2018,NA,NA,09001044500,0.745
tracts,Annual checkup,2018,NA,NA,09001044600,0.799
tracts,Annual checkup,2018,NA,NA,09001045101,0.7959999999999999
tracts,Annual checkup,2018,NA,NA,09001045102,0.7999999999999999
tracts,Annual checkup,2018,NA,NA,09001045200,0.8029999999999999
tracts,Annual checkup,2018,NA,NA,09001045300,0.7979999999999999
tracts,Annual checkup,2018,NA,NA,09001045400,0.8019999999999999
tracts,Annual checkup,2018,NA,NA,09001050100,0.809
tracts,Annual checkup,2018,NA,NA,09001050200,0.804
tracts,Annual checkup,2018,NA,NA,09001050300,0.809
tracts,Annual checkup,2018,NA,NA,09001050400,0.8059999999999999
tracts,Annual checkup,2018,NA,NA,09001050500,0.802
tracts,Annual checkup,2018,NA,NA,09001050600,0.813
tracts,Annual checkup,2018,NA,NA,09001055100,0.795
tracts,Annual checkup,2018,NA,NA,09001055200,0.804
